2025-01-18 20:48:00,381 - INFO - Parsed 285335 classes from D:\git\mission_checker\data\ConfigExtract_pcanext.ini
2025-01-18 20:48:00,390 - INFO - 
INIDB Config Analysis:
2025-01-18 20:48:00,391 - INFO - Found 92 base class definitions
2025-01-18 20:49:44,100 - ERROR - Error parsing INIDBI data: ClassName,Source,Category,Parent,InheritsFrom,IsSimpleObject,NumProperties,Scope,Model - 'Source'
2025-01-18 20:49:44,114 - ERROR - Error parsing INIDBI data: SinglePlayer,kart,CfgMods,Kart,,false,5,0, - 'Source'
2025-01-18 20:49:44,114 - ERROR - Error parsing INIDBI data: MultiPlayer,kart,CfgMods,Kart,,false,2,0, - 'Source'
2025-01-18 20:49:44,114 - ERROR - Error parsing INIDBI data: Features,A3,CfgMods,Kart,,false,0,0, - 'Source'
2025-01-18 20:49:44,114 - ERROR - Error parsing INIDBI data: Assets,heli,CfgMods,Heli,,false,6,0, - 'Source'
2025-01-18 20:49:44,114 - ERROR - Error parsing INIDBI data: SinglePlayer,heli,CfgMods,Heli,,false,7,0, - 'Source'
2025-01-18 20:49:44,115 - ERROR - Error parsing INIDBI data: MultiPlayer,heli,CfgMods,Heli,,false,5,0, - 'Source'
2025-01-18 20:49:44,115 - ERROR - Error parsing INIDBI data: Features,heli,CfgMods,Heli,,false,3,0, - 'Source'
2025-01-18 20:49:44,115 - ERROR - Error parsing INIDBI data: Assets,mark,CfgMods,Mark,,false,14,0, - 'Source'
2025-01-18 20:49:44,115 - ERROR - Error parsing INIDBI data: SinglePlayer,mark,CfgMods,Mark,,false,6,0, - 'Source'
2025-01-18 20:49:44,115 - ERROR - Error parsing INIDBI data: MultiPlayer,mark,CfgMods,Mark,,false,2,0, - 'Source'
2025-01-18 20:49:44,115 - ERROR - Error parsing INIDBI data: Features,mark,CfgMods,Mark,,false,3,0, - 'Source'
2025-01-18 20:49:44,116 - ERROR - Error parsing INIDBI data: Assets,A3,CfgMods,OfficialMod,,false,1,0, - 'Source'
2025-01-18 20:49:44,116 - ERROR - Error parsing INIDBI data: Features,A3,CfgMods,OfficialMod,,false,0,0, - 'Source'
2025-01-18 20:49:44,116 - ERROR - Error parsing INIDBI data: Assets,expansion,CfgMods,Expansion,,false,50,0, - 'Source'
2025-01-18 20:49:44,116 - ERROR - Error parsing INIDBI data: SinglePlayer,expansion,CfgMods,Expansion,,false,2,0, - 'Source'
2025-01-18 20:49:44,116 - ERROR - Error parsing INIDBI data: MultiPlayer,expansion,CfgMods,Expansion,,false,3,0, - 'Source'
2025-01-18 20:49:44,116 - ERROR - Error parsing INIDBI data: Features,expansion,CfgMods,Expansion,,false,21,0, - 'Source'
2025-01-18 20:49:44,117 - ERROR - Error parsing INIDBI data: Assets,jets,CfgMods,Jets,,false,15,0, - 'Source'
2025-01-18 20:49:44,117 - ERROR - Error parsing INIDBI data: SinglePlayer,jets,CfgMods,Jets,,false,1,0, - 'Source'
2025-01-18 20:49:44,117 - ERROR - Error parsing INIDBI data: MultiPlayer,A3,CfgMods,Jets,,false,0,0, - 'Source'
2025-01-18 20:49:44,117 - ERROR - Error parsing INIDBI data: Features,jets,CfgMods,Jets,,false,8,0, - 'Source'
2025-01-18 20:49:44,117 - ERROR - Error parsing INIDBI data: Assets,argo,CfgMods,Argo,,false,3,0, - 'Source'
2025-01-18 20:49:44,117 - ERROR - Error parsing INIDBI data: SinglePlayer,A3,CfgMods,Argo,,false,0,0, - 'Source'
2025-01-18 20:49:44,118 - ERROR - Error parsing INIDBI data: MultiPlayer,argo,CfgMods,Argo,,false,3,0, - 'Source'
2025-01-18 20:49:44,118 - ERROR - Error parsing INIDBI data: Features,A3,CfgMods,Argo,,false,0,0, - 'Source'
2025-01-18 20:49:44,118 - ERROR - Error parsing INIDBI data: Assets,orange,CfgMods,Orange,,false,32,0, - 'Source'
2025-01-18 20:49:44,118 - ERROR - Error parsing INIDBI data: Singleplayer,orange,CfgMods,Orange,,false,8,0, - 'Source'
2025-01-18 20:49:44,118 - ERROR - Error parsing INIDBI data: Features,orange,CfgMods,Orange,,false,4,0, - 'Source'
2025-01-18 20:49:44,118 - ERROR - Error parsing INIDBI data: Achievements,orange,CfgMods,Orange,,false,7,0, - 'Source'
